"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.521813411E0,2.099999972E-2,2.400000021E-2,2.579999864E-1,2.599634455E-1
1.526828209E0,2.099999972E-2,-2.000000095E-3,2.860000134E-1,2.867769301E-1
1.531842978E0,3.400000185E-2,-1.600000076E-2,3.540000021E-1,3.559887662E-1
1.536857747E0,4.500000179E-2,-1.499999966E-2,3.269999921E-1,3.304224493E-1
1.541872516E0,3.099999949E-2,-1.000000047E-3,2.179999948E-1,2.201953625E-1
1.546887285E0,3.099999949E-2,1.200000010E-2,9.499999881E-2,1.006478999E-1
1.551902265E0,4.000000190E-3,2.500000037E-2,1.360000074E-1,1.383365535E-1
1.556917036E0,2.899999917E-2,2.400000021E-2,3.129999936E-1,3.152554455E-1
1.561931810E0,1.499999966E-2,9.999999776E-3,3.810000122E-1,3.814262829E-1
1.566946349E0,2.899999917E-2,-1.600000076E-2,2.579999864E-1,2.601172677E-1
1.571961121E0,1.499999966E-2,-3.000000026E-3,5.400000140E-2,5.612486206E-2
1.576976121E0,2.700000070E-2,-3.000000026E-3,-2.700000070E-2,3.830143699E-2
1.581990863E0,2.700000070E-2,-3.000000026E-3,1.300000027E-2,3.011644144E-2
1.587005633E0,3.999999911E-2,2.400000021E-2,6.800000370E-2,8.246211519E-2
1.592020402E0,2.600000054E-2,2.400000021E-2,6.800000370E-2,7.665507511E-2
1.597035161E0,1.200000010E-2,2.199999988E-2,8.100000024E-2,8.478797106E-2
1.602049930E0,2.500000037E-2,8.000000380E-3,5.400000140E-2,6.004165367E-2
