"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.009954743E0,1.639539562E-2,4.301428795E-2,4.904747009E-3,4.629356876E-2
1.014947608E0,4.567394964E-3,-2.404034138E-3,-1.044054031E-1,1.045329072E-1
1.019937503E0,-3.945096396E-4,-2.379119396E-2,8.175468445E-2,8.514696106E-2
1.024929743E0,8.886760101E-3,-1.886916161E-2,1.903467178E-1,1.914860119E-1
1.029923597E0,-2.977872966E-3,-4.471611977E-2,1.293802261E-1,1.369220289E-1
1.034915524E0,-3.349136189E-2,1.031792164E-2,-9.737205505E-2,1.034864626E-1
1.039908024E0,-2.119616605E-2,1.025599241E-2,-1.939554214E-1,1.953795495E-1
1.044901618E0,4.056813568E-2,-4.692107439E-2,-1.187028885E-1,1.339318356E-1
1.049868337E0,7.806671411E-2,2.465784550E-2,7.232570648E-2,1.092402353E-1
1.054885472E0,2.518686093E-2,-1.828318834E-2,1.905012131E-1,1.930268508E-1
1.059878180E0,-3.179827332E-2,-1.815819740E-2,1.010169983E-1,1.074489845E-1
1.064870889E0,-7.653686404E-2,-2.273398638E-2,3.603649139E-2,8.759768494E-2
1.069863545E0,-2.113006264E-2,-2.014499903E-2,-1.186714172E-1,1.222096797E-1
1.074856201E0,2.209467813E-2,3.943532705E-2,-1.651906967E-1,1.712637910E-1
1.079848910E0,2.890200913E-2,-4.396188259E-2,-4.265689850E-2,6.773170781E-2
1.084823545E0,4.516541585E-2,-6.975370646E-2,2.831459045E-3,8.314752861E-2
1.089816253E0,1.166651770E-2,-5.060315132E-3,1.168327332E-1,1.175227721E-1
1.094808910E0,-2.645823546E-2,-9.847939014E-3,8.259582520E-2,8.728740153E-2
1.099801618E0,-3.808305413E-2,2.084493637E-3,6.527709961E-2,7.560267098E-2
1.104794326E0,-6.752077490E-3,4.009974003E-2,-9.442615509E-2,1.028099142E-1
1.109786983E0,4.069336504E-2,6.592047215E-2,-7.700824738E-2,1.092324529E-1
1.114775889E0,1.415314246E-2,2.031111717E-2,1.865959167E-2,3.100053683E-2
1.119768597E0,-4.289060831E-2,3.485798836E-3,2.562904358E-2,5.008595561E-2
1.124761305E0,-3.062311932E-2,3.198719025E-2,-3.634643555E-2,5.728890952E-2
1.129754014E0,-6.364099681E-2,5.312448740E-2,-4.079341888E-2,9.239313103E-2
1.134746670E0,-6.074387208E-2,-4.358470440E-3,1.893234253E-2,6.377497827E-2
1.139739326E0,-6.510353088E-2,-2.340513468E-2,3.777408600E-2,7.882354747E-2
1.144734222E0,-6.694869697E-2,5.268990993E-3,4.458427429E-2,8.060798848E-2
1.149726930E0,-4.956890270E-2,4.088217020E-2,-4.368019104E-2,7.769418926E-2
1.154719587E0,-7.515173405E-2,9.632110596E-3,-1.217107773E-1,1.433669208E-1
1.159712295E0,-1.459576786E-1,-2.301812172E-3,-7.555961609E-2,1.643721322E-1
1.164705003E0,-1.161991581E-1,-1.888740063E-2,5.572605133E-2,1.302473457E-1
1.169697660E0,-8.896493167E-2,-3.053236008E-2,5.764198303E-2,1.103158297E-1
1.174686410E0,-9.278507531E-2,1.725667715E-2,-4.260921478E-2,1.035490622E-1
1.179679170E0,-1.013790146E-1,2.669036388E-2,-7.313156128E-2,1.278213807E-1
1.184671826E0,-6.729560345E-2,-2.112150192E-2,-4.402160645E-2,8.314275628E-2
1.189664483E0,-3.824390098E-2,-1.859730482E-2,-3.272056580E-3,4.265163612E-2
